,Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count,momentum_genre_baseline,discovery_capture_baseline,quality_retention_baseline,momentum_diff_vs_baseline,momentum_pct_vs_baseline,discovery_capture_diff_vs_baseline,quality_retention_vs_baseline,quality_pct_vs_baseline,momentum_lift,discovery_lift,quality_lift
109,Fighting,True,26.67,,26.67,0.07,,0.07,0.6,,0.6,4.4,,4.4,4.7,,4.7,4.1,,4.1,8.0,,8.0,30.0,,30.0,11362.0,,11362.0,1,31.16,0.09,0.2,-4.489999999999998,-14.40949935815147,-0.01999999999999999,0.39999999999999997,199.99999999999997,-4.609999999999999,-0.03,0.39999999999999997
110,Fighting / Baseball,False,0.0,,0.0,0.0,,0.0,1.1,,1.1,0.0,,0.0,5.0,,5.0,3.9,,3.9,0.0,,0.0,2.0,,2.0,767.0,,767.0,1,0.0,0.0,1.1,0.0,,0.0,0.0,0.0,0.0,0.0,-1.1
111,Fighting / Puzzle / Platformer,False,0.0,,0.0,0.0,,0.0,0.8,,0.8,0.0,,0.0,5.0,,5.0,4.2,,4.2,0.0,,0.0,1.0,,1.0,1107.0,,1107.0,1,0.0,0.0,0.8,0.0,,0.0,0.0,0.0,0.0,0.0,-0.8
112,First-Person Shooter,False,29.13,30.87,22.5,0.11,0.14,0.07,-0.59,1.7,-0.05,2.77,2.17,3.35,3.59,1.8,4.45,4.19,0.65,4.45,8.17,21.8,2.0,29.06,80.51,7.0,8623.06,18571.08,2306.0,18,27.3,0.08,0.05,1.8299999999999983,6.703296703296697,-0.009999999999999995,-0.1,-200.0,-3.8999999999999986,0.009999999999999995,0.15000000000000002
113,First-Person Shooter,True,25.23,16.14,27.8,0.09,0.07,0.08,-0.06,1.15,0.1,3.01,1.76,3.45,3.91,1.19,4.1,3.96,0.62,4.05,7.0,6.07,4.5,23.25,18.34,19.5,11232.0,18362.41,5210.0,16,27.3,0.08,0.05,-2.0700000000000003,-7.582417582417583,0.0,0.05,100.0,-3.8999999999999986,0.009999999999999995,0.15000000000000002
114,First-Person Shooter / Action-Adventure,False,56.25,41.46,62.5,0.25,0.27,0.26,-0.85,1.72,-0.1,3.5,2.38,4.5,3.4,2.3,4.4,4.25,0.57,4.5,2.75,2.63,3.0,4.25,4.35,4.5,1542.25,1001.94,1046.5,4,44.87,0.12,0.1,11.380000000000003,25.362157343436603,0.14,-0.2,-200.0,-34.14,-0.14,0.30000000000000004
115,First-Person Shooter / Action-Adventure,True,22.11,2.4,22.11,0.12,0.04,0.12,0.2,0.28,0.2,4.05,0.07,4.05,4.4,0.0,4.4,4.2,0.28,4.2,7.5,3.54,7.5,35.0,19.8,35.0,5816.5,1273.5,5816.5,2,44.87,0.12,0.1,-22.759999999999998,-50.724314686873186,0.0,0.1,100.0,-34.14,-0.14,0.30000000000000004
116,First-Person Shooter / Vehicular Combat,True,12.5,,12.5,0.13,,0.13,0.5,,0.5,3.5,,3.5,4.8,,4.8,4.3,,4.3,2.0,,2.0,16.0,,16.0,1585.0,,1585.0,1,12.5,0.13,0.5,0.0,0.0,0.0,0.0,0.0,12.5,0.13,0.5
117,Fishing,False,0.0,,0.0,0.0,,0.0,-1.4,,-1.4,0.0,,0.0,2.0,,2.0,3.4,,3.4,0.0,,0.0,1.0,,1.0,720.0,,720.0,1,0.0,0.0,-1.4,0.0,,0.0,0.0,-0.0,0.0,0.0,1.4
118,Flight Simulator,False,23.08,,23.08,0.33,,0.33,0.7,,0.7,4.2,,4.2,4.8,,4.8,4.1,,4.1,6.0,,6.0,26.0,,26.0,1836.0,,1836.0,1,23.08,0.33,0.7,0.0,0.0,0.0,0.0,0.0,-23.08,-0.33,-0.7
119,Flight Simulator / Vehicular Combat,True,0.0,,0.0,0.0,,0.0,0.5,,0.5,0.0,,0.0,5.0,,5.0,4.5,,4.5,0.0,,0.0,2.0,,2.0,679.0,,679.0,1,0.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.5
