,publisher,has_gamepass_remediation,Unnamed: 2,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count,momentum_mean_baseline,discovery_capture_median_baseline,quality_retention_median_baseline,momentum_mean_diff_baseline,momentum_mean_diff_baseline_pct,discovery_capture_median_diff_baseline,discovery_capture_median_diff_baseline_pct,quality_retention_median_diff_baseline,quality_retention_median_diff_baseline_pct,momentum_lift,discovery_lift,quality_lift
66,Broken Rules,False,0.0,,0.0,0.0,,0.0,1.3,,1.3,0.0,,0.0,5.0,,5.0,3.7,,3.7,0.0,,0.0,2.0,,2.0,1451.0,,1451.0,0.0,1.0,,0.0,0.0,1.3,,,1.3,,-1.3,-100.0,0.0,-1.3,0.0
67,Bulkhead Interactive,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,-0.2,0.0,0.0,0.0,4.0,0.0,4.0,4.2,0.0,4.2,0.0,0.0,0.0,1.0,0.0,1.0,3158.0,0.0,3158.0,0.0,4.0,,0.0,0.0,-0.2,0.0,,-0.2,,0.2,-100.0,0.0,0.2,0.0
68,Butterscotch Shenanigans,False,100.0,,100.0,0.18,,0.18,1.3,,1.3,5.0,,5.0,5.0,,5.0,3.7,,3.7,1.0,,1.0,1.0,,1.0,543.0,,543.0,0.0,1.0,,100.0,0.18,1.3,,,1.12,622.2222222222223,3.7,284.61538461538464,0.0,-1.3,-5.0
69,CAPCOM,False,0.0,,0.0,0.0,,0.0,-4.5,,-4.5,0.0,,0.0,0.0,,0.0,4.5,,4.5,0.0,,0.0,0.0,,0.0,291.0,,291.0,0.0,1.0,,0.0,0.0,-4.5,,,-4.5,,4.5,-100.0,0.0,4.5,0.0
70,"CAPCOM CO,. LTD.",False,43.48,,43.48,0.53,,0.53,0.1,,0.1,4.0,,4.0,4.4,,4.4,4.3,,4.3,10.0,,10.0,23.0,,23.0,1877.0,,1877.0,0.0,1.0,,43.48,0.53,0.1,,,-0.43000000000000005,-81.13207547169812,3.9,3900.0,0.0,-0.1,-4.0
71,"CAPCOM CO., LTD.",False,33.769,28.935,29.3,1.508,4.115,0.24,-0.511,1.405,0.0,3.411,1.934,4.1,3.779,1.633,4.4,4.289,0.515,4.3,7.158,11.819,2.0,20.789,36.89,9.0,2707.789,4491.515,549.0,0.0,19.0,,33.77,0.24,0.0,-4.835000000000004,-14.317441516138596,-0.751,-312.9166666666667,3.411,,-28.935,0.511,-3.411
72,"CAPCOM Co., Ltd.",False,25.0,0.0,25.0,0.09,0.0,0.09,-0.4,0.0,-0.4,1.0,0.0,1.0,4.0,0.0,4.0,4.4,0.0,4.4,1.0,0.0,1.0,4.0,0.0,4.0,1091.0,0.0,1091.0,0.0,4.0,,25.0,0.09,-0.4,-25.0,-100.0,-0.49,-544.4444444444445,1.4,-349.99999999999994,0.0,0.4,-1.0
73,CD PROJEKT RED,False,52.5,5.59,50.0,0.152,0.072,0.12,-0.12,0.268,0.0,4.6,0.894,5.0,3.84,0.358,4.0,3.96,0.089,4.0,2.6,1.342,2.0,4.8,1.789,4.0,1703.0,55.902,1678.0,0.0,5.0,,52.5,0.12,0.0,-46.91,-89.35238095238095,-0.24,-200.0,4.6,,-5.59,0.12,-4.6
74,Campo Santo,True,27.62,,27.62,0.22,,0.22,0.1,,0.1,4.9,,4.9,4.7,,4.7,4.6,,4.6,50.0,,50.0,181.0,,181.0,23150.0,,23150.0,1.0,1.0,,27.62,0.22,0.1,,,-0.12,-54.54545454545454,4.800000000000001,4800.000000000001,0.0,0.1,4.9
75,Capcom,False,28.702,19.377,33.33,0.345,0.466,0.08,0.617,0.204,0.6,4.167,2.041,5.0,4.883,0.24,5.0,4.267,0.197,4.3,1.333,1.366,1.0,4.5,3.564,3.0,1318.333,1428.597,616.5,0.0,6.0,,28.7,0.08,0.6,-9.323,-32.484320557491294,0.537,671.25,3.5669999999999997,594.4999999999999,-19.377,-0.617,-4.167
