Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count
Simulation / First-Person Shooter,True,22.4,,22.4,0.6,,0.6,0.4,,0.4,4.0,,4.0,4.4,,4.4,4.0,,4.0,86.0,,86.0,384.0,,384.0,14361.0,,14361.0,1
Simulation / Flight Simulator,False,20.33,,20.33,0.06,,0.06,0.1,,0.1,3.4,,3.4,3.2,,3.2,3.1,,3.1,25.0,,25.0,123.0,,123.0,40018.0,,40018.0,1
Simulation / Music/Rhythm,False,0.0,,0.0,0.0,,0.0,1.9,,1.9,0.0,,0.0,5.0,,5.0,3.1,,3.1,0.0,,0.0,1.0,,1.0,249.0,,249.0,1
Skateboarding,False,6.48,12.96,0.0,0.03,0.06,0.0,-1.12,2.26,-1.4,1.02,2.05,0.0,2.4,2.78,2.3,3.52,0.77,3.35,3.5,7.0,0.0,13.75,26.84,0.5,3295.5,4803.6,1191.0,4
Soccer,False,11.11,19.24,0.0,0.04,0.06,0.0,1.63,0.74,1.9,1.67,2.89,0.0,4.67,0.58,5.0,3.03,0.21,3.1,0.33,0.58,0.0,2.67,1.53,3.0,1743.67,800.24,1795.0,3
Sports,False,13.73,31.66,0.0,0.25,1.03,0.0,-1.16,2.0,-1.7,0.86,1.72,0.0,1.89,2.1,0.75,3.06,0.69,3.0,0.55,1.23,0.0,4.1,10.26,0.5,1479.95,1341.82,1030.0,20
Sports,True,21.05,0.0,21.05,0.11,0.0,0.11,0.2,0.0,0.2,3.8,0.0,3.8,3.5,0.0,3.5,3.3,0.0,3.3,4.0,0.0,4.0,19.0,0.0,19.0,3578.0,0.0,3578.0,2
Sports / Baseball,False,16.66,23.57,16.66,0.06,0.08,0.06,1.0,1.41,1.0,2.5,3.54,2.5,4.0,1.41,4.0,3.0,0.0,3.0,0.5,0.71,0.5,2.0,1.41,2.0,1982.0,1521.69,1982.0,2
Sports / Basketball,False,0.0,0.0,0.0,0.0,0.0,0.0,-2.74,2.88,-3.8,0.0,0.0,0.0,1.0,2.24,0.0,3.74,0.84,3.8,0.0,0.0,0.0,0.2,0.45,0.0,3466.2,2779.65,4669.0,5
Sports / Cricket,False,0.0,,0.0,0.0,,0.0,-3.2,,-3.2,0.0,,0.0,0.0,,0.0,3.2,,3.2,0.0,,0.0,0.0,,0.0,1753.0,,1753.0,1
