publisher,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
Xbox LIVE Arcade,0.0,,0.0,0.0,,0.0,-3.6,,-3.6,0.0,,0.0,0.0,,0.0,3.6,,3.6,0.0,,0.0,0.0,,0.0,283.0,,283.0,0.0,1.0
YCJY Games,0.0,,0.0,0.0,,0.0,1.6,,1.6,0.0,,0.0,5.0,,5.0,3.4,,3.4,0.0,,0.0,1.0,,1.0,881.0,,881.0,0.0,1.0
Yacht Club Games,0.0,,0.0,0.0,,0.0,-3.7,,-3.7,0.0,,0.0,0.0,,0.0,3.7,,3.7,0.0,,0.0,0.0,,0.0,1808.0,,1808.0,0.0,1.0
Young Horses,26.67,,26.67,0.12,,0.12,0.4,,0.4,5.0,,5.0,4.8,,4.8,4.4,,4.4,4.0,,4.0,15.0,,15.0,3324.0,,3324.0,0.0,1.0
Ysbryd Games,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,1.21,-2.9,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.21,2.9,0.0,0.0,0.0,0.0,0.0,0.0,576.0,419.41,495.0,0.0,3.0
Zachtronics,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0.59,-3.4,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.59,3.4,0.0,0.0,0.0,0.0,0.0,0.0,236.5,87.73,267.0,0.0,4.0
Zen Studios,0.0,0.0,0.0,0.0,0.0,0.0,-3.57,0.16,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.16,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2892.83,972.86,3290.0,0.0,6.0
astragon Entertainment,26.67,,26.67,0.29,,0.29,0.1,,0.1,2.5,,2.5,3.3,,3.3,3.2,,3.2,4.0,,4.0,15.0,,15.0,1395.0,,1395.0,1.0,1.0
astragon Entertainment GmbH,0.0,,0.0,0.0,,0.0,-3.8,,-3.8,0.0,,0.0,0.0,,0.0,3.8,,3.8,0.0,,0.0,0.0,,0.0,50.0,,50.0,1.0,1.0
bilibili Game,0.0,,0.0,0.0,,0.0,-2.2,,-2.2,0.0,,0.0,0.0,,0.0,2.2,,2.2,0.0,,0.0,0.0,,0.0,3296.0,,3296.0,0.0,1.0
